brand,price,start_time,start_day,end_day,end_time,trip_time,take_place,destination,trip_to,id
VietJet Air,588258,19:20,22-05-2024,22-05-2024,20:20,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Nha Trang (CXR)
Sân bay Cam Ranh",Nha Trang,270
VietJet Air,588258,20:00,22-05-2024,22-05-2024,21:00,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Nha Trang (CXR)
Sân bay Cam Ranh",Nha Trang,271
Bamboo Airways,818975,09:35,22-05-2024,22-05-2024,10:45,1h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Nha Trang (CXR)
Sân bay Cam Ranh",Nha Trang,272
VietJet Air,905566,17:00,22-05-2024,22-05-2024,18:00,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Nha Trang (CXR)
Sân bay Cam Ranh",Nha Trang,273
VietJet Air,971014,14:25,22-05-2024,22-05-2024,15:25,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Nha Trang (CXR)
Sân bay Cam Ranh",Nha Trang,274
Vietnam Airlines,1125450,13:35,22-05-2024,22-05-2024,14:50,1h 15m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Nha Trang (CXR)
Sân bay Cam Ranh",Nha Trang,275
Vietnam Airlines,1236150,14:10,22-05-2024,22-05-2024,15:25,1h 15m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Nha Trang (CXR)
Sân bay Cam Ranh",Nha Trang,276
Vietnam Airlines,1236150,20:05,22-05-2024,22-05-2024,21:20,1h 15m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Nha Trang (CXR)
Sân bay Cam Ranh",Nha Trang,277
Vietnam Airlines,1346850,12:15,22-05-2024,22-05-2024,13:30,1h 15m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Nha Trang (CXR)
Sân bay Cam Ranh",Nha Trang,278
Vietnam Airlines,1346850,06:40,22-05-2024,22-05-2024,08:00,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Nha Trang (CXR)
Sân bay Cam Ranh",Nha Trang,279
Vietnam Airlines,13109652,20:00,22-05-2024,22-05-2024,22:15,2h 15m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài",Nha Trang,280
Vietnam Airlines,13709090,23:00,22-05-2024,23-05-2024,01:20,2h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài",Nha Trang,281
Vietnam Airlines,13709090,22:00,22-05-2024,23-05-2024,00:10,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài",Nha Trang,282
Vietnam Airlines,13709090,21:00,22-05-2024,22-05-2024,23:15,2h 15m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài",Nha Trang,283
Vietnam Airlines,13709090,23:00,22-05-2024,23-05-2024,01:20,2h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài",Nha Trang,284
Vietnam Airlines,13709090,22:00,22-05-2024,23-05-2024,00:10,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài",Nha Trang,285
Vietnam Airlines,13709090,21:00,22-05-2024,22-05-2024,23:15,2h 15m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài",Nha Trang,286
Vietnam Airlines,14569642,20:00,22-05-2024,22-05-2024,22:15,2h 15m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài",Nha Trang,287
Vietnam Airlines,15165689,19:00,22-05-2024,22-05-2024,21:15,2h 15m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài",Nha Trang,288
Vietnam Airlines,15467235,16:00,22-05-2024,22-05-2024,18:15,2h 15m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài",Nha Trang,289
Vietnam Airlines,15467235,17:00,22-05-2024,22-05-2024,19:15,2h 15m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài",Nha Trang,290
Vietnam Airlines,15467235,16:00,22-05-2024,22-05-2024,18:15,2h 15m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài",Nha Trang,291
Vietnam Airlines,15467235,12:00,22-05-2024,22-05-2024,14:15,2h 15m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài",Nha Trang,292
Vietnam Airlines,15467235,11:00,22-05-2024,22-05-2024,13:15,2h 15m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài",Nha Trang,293
Vietnam Airlines,16629592,19:00,22-05-2024,22-05-2024,21:15,2h 15m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài",Nha Trang,294
Vietnam Airlines,16629592,18:00,22-05-2024,22-05-2024,20:15,2h 15m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài",Nha Trang,295
Vietnam Airlines,16629592,17:00,22-05-2024,22-05-2024,19:15,2h 15m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài",Nha Trang,296
Vietnam Airlines,16629592,18:00,22-05-2024,22-05-2024,20:15,2h 15m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài",Nha Trang,297
Vietnam Airlines,16629592,13:00,22-05-2024,22-05-2024,15:15,2h 15m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài",Nha Trang,298
Vietnam Airlines,16629592,15:00,22-05-2024,22-05-2024,17:15,2h 15m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài",Nha Trang,299
Vietnam Airlines,17486491,05:00,22-05-2024,22-05-2024,07:15,2h 15m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài",Nha Trang,300
VietJet Air,951786,06:40,23-05-2024,23-05-2024,07:50,1h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Nha Trang (CXR)
Sân bay Cam Ranh",Nha Trang,301
VietJet Air,1037322,14:25,23-05-2024,23-05-2024,15:25,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Nha Trang (CXR)
Sân bay Cam Ranh",Nha Trang,302
VietJet Air,1058278,14:00,23-05-2024,23-05-2024,15:00,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Nha Trang (CXR)
Sân bay Cam Ranh",Nha Trang,303
Bamboo Airways,1129550,09:35,23-05-2024,23-05-2024,10:45,1h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Nha Trang (CXR)
Sân bay Cam Ranh",Nha Trang,304
Vietnam Airlines,1236150,14:50,23-05-2024,23-05-2024,16:05,1h 15m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Nha Trang (CXR)
Sân bay Cam Ranh",Nha Trang,305
Vietnam Airlines,1236150,06:40,23-05-2024,23-05-2024,08:00,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Nha Trang (CXR)
Sân bay Cam Ranh",Nha Trang,306
Vietnam Airlines,1346850,14:10,23-05-2024,23-05-2024,15:25,1h 15m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Nha Trang (CXR)
Sân bay Cam Ranh",Nha Trang,307
Vietnam Airlines,1346850,20:05,23-05-2024,23-05-2024,21:20,1h 15m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Nha Trang (CXR)
Sân bay Cam Ranh",Nha Trang,308
Vietnam Airlines,13035048,06:00,23-05-2024,23-05-2024,08:15,2h 15m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài",Nha Trang,309
Vietnam Airlines,13035048,05:00,23-05-2024,23-05-2024,07:15,2h 15m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài",Nha Trang,310
Vietnam Airlines,13634748,23:00,23-05-2024,24-05-2024,01:20,2h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài",Nha Trang,311
Vietnam Airlines,13634748,22:00,23-05-2024,24-05-2024,00:10,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài",Nha Trang,312
Vietnam Airlines,13634748,20:00,23-05-2024,23-05-2024,22:15,2h 15m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài",Nha Trang,313
Vietnam Airlines,19677650,07:20,23-05-2024,23-05-2024,09:00,1h 40m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đồng Hới (VDH)
Sân bay Đồng Hới",Nha Trang,314
Vietnam Airlines,1346850,22:00,24-05-2024,24-05-2024,23:15,1h 15m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Nha Trang (CXR)
Sân bay Cam Ranh",Nha Trang,315
Bamboo Airways,1572350,09:35,24-05-2024,24-05-2024,10:45,1h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Nha Trang (CXR)
Sân bay Cam Ranh",Nha Trang,316
Vietnam Airlines,1656400,20:05,24-05-2024,24-05-2024,21:20,1h 15m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Nha Trang (CXR)
Sân bay Cam Ranh",Nha Trang,317
VietJet Air,1678842,14:25,24-05-2024,24-05-2024,15:25,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Nha Trang (CXR)
Sân bay Cam Ranh",Nha Trang,318
Vietnam Airlines,1744550,15:45,24-05-2024,24-05-2024,17:00,1h 15m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Nha Trang (CXR)
Sân bay Cam Ranh",Nha Trang,319
Vietnam Airlines,1744550,06:40,24-05-2024,24-05-2024,08:00,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Nha Trang (CXR)
Sân bay Cam Ranh",Nha Trang,320
Vietnam Airlines,1833725,18:30,24-05-2024,24-05-2024,19:45,1h 15m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Nha Trang (CXR)
Sân bay Cam Ranh",Nha Trang,321
Vietnam Airlines,1889075,14:10,24-05-2024,24-05-2024,15:25,1h 15m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Nha Trang (CXR)
Sân bay Cam Ranh",Nha Trang,322
Vietnam Airlines,1952625,12:45,24-05-2024,24-05-2024,13:50,1h 5m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Nha Trang (CXR)
Sân bay Cam Ranh",Nha Trang,323
VietJet Air,2955030,05:30,24-05-2024,24-05-2024,07:30,2h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hải Phòng (HPH)
Sân bay quốc tế Cát Bi",Nha Trang,324
VietJet Air,2955030,20:20,24-05-2024,24-05-2024,22:20,2h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hải Phòng (HPH)
Sân bay quốc tế Cát Bi",Nha Trang,325
VietJet Air,2955030,16:35,24-05-2024,24-05-2024,18:35,2h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hải Phòng (HPH)
Sân bay quốc tế Cát Bi",Nha Trang,326
VietJet Air,3065730,14:10,24-05-2024,24-05-2024,16:10,2h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hải Phòng (HPH)
Sân bay quốc tế Cát Bi",Nha Trang,327
Vietnam Airlines,12178148,23:00,24-05-2024,25-05-2024,01:20,2h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài",Nha Trang,328
Vietnam Airlines,12178148,22:30,24-05-2024,25-05-2024,00:50,2h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài",Nha Trang,329
Vietnam Airlines,12178148,22:00,24-05-2024,25-05-2024,00:10,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài",Nha Trang,330
Vietnam Airlines,12178148,21:00,24-05-2024,24-05-2024,23:15,2h 15m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài",Nha Trang,331
Vietnam Airlines,12178148,20:45,24-05-2024,24-05-2024,22:50,2h 5m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài",Nha Trang,332
Vietnam Airlines,13035048,20:00,24-05-2024,24-05-2024,22:15,2h 15m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài",Nha Trang,333
Vietnam Airlines,13035048,19:30,24-05-2024,24-05-2024,21:40,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài",Nha Trang,334
Vietnam Airlines,13035048,19:00,24-05-2024,24-05-2024,21:15,2h 15m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài",Nha Trang,335
Vietnam Airlines,13035048,17:30,24-05-2024,24-05-2024,19:35,2h 5m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài",Nha Trang,336
Vietnam Airlines,13035048,17:00,24-05-2024,24-05-2024,19:15,2h 15m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài",Nha Trang,337
Vietnam Airlines,13035048,16:40,24-05-2024,24-05-2024,19:10,2h 30m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài",Nha Trang,338
Vietravel Airlines,868230,19:10,,,20:30,1h 20m,SGN,DAD,Đà Nẵng,339
Vietravel Airlines,969210,09:00,,,10:20,1h 20m,SGN,DAD,Đà Nẵng,340
Bamboo Airways,993975,06:15,,,07:40,1h 25m,SGN,DAD,Đà Nẵng,341
Vietnam Airlines,1125345,06:05,,,07:25,1h 20m,SGN,DAD,Đà Nẵng,342
Vietnam Airlines,1125345,22:15,,,23:35,1h 20m,SGN,DAD,Đà Nẵng,343
Vietnam Airlines,1253700,07:00,,,08:20,1h 20m,SGN,DAD,Đà Nẵng,344
Bamboo Airways,1285968,13:10,,,14:35,1h 25m,SGN,DAD,Đà Nẵng,345
Vietnam Airlines,1375090,08:05,,,09:20,1h 15m,SGN,DAD,Đà Nẵng,346
Vietnam Airlines,1375090,17:15,,,18:30,1h 15m,SGN,DAD,Đà Nẵng,347
Vietnam Airlines,1375090,15:15,,,16:35,1h 20m,SGN,DAD,Đà Nẵng,348
Vietravel Airlines,868230,19:10,,,20:30,1h 20m,SGN,DAD,Đà Nẵng,349
VietJet Air,678150,21:25,,,22:45,1h 20m,SGN,DAD,Đà Nẵng,350
VietJet Air,678150,23:00,,,00:20,1h 20m,SGN,DAD,Đà Nẵng,351
VietJet Air,720664,20:40,,,22:00,1h 20m,SGN,DAD,Đà Nẵng,352
VietJet Air,902880,07:20,,,08:40,1h 20m,SGN,DAD,Đà Nẵng,353
VietJet Air,902880,15:25,,,16:45,1h 20m,SGN,DAD,Đà Nẵng,354
VietJet Air,902880,18:15,,,19:35,1h 20m,SGN,DAD,Đà Nẵng,355
Vietravel Airlines,968220,09:00,,,10:20,1h 20m,SGN,DAD,Đà Nẵng,356
Bamboo Airways,993975,10:05,,,11:30,1h 25m,SGN,DAD,Đà Nẵng,357
Bamboo Airways,994000,06:15,,,07:40,1h 25m,SGN,DAD,Đà Nẵng,358
Bamboo Airways,896978,06:15,,,07:40,1h 25m,SGN,DAD,Đà Nẵng,359
Bamboo Airways,993975,10:05,,,11:30,1h 25m,SGN,DAD,Đà Nẵng,360
Vietnam Airlines,1231810,06:05,,,07:25,1h 20m,SGN,DAD,Đà Nẵng,361
Vietnam Airlines,1231810,20:55,,,22:15,1h 20m,SGN,DAD,Đà Nẵng,362
Vietnam Airlines,1244773,07:00,,,08:20,1h 20m,SGN,DAD,Đà Nẵng,363
Vietnam Airlines,1244773,18:55,,,20:15,1h 20m,SGN,DAD,Đà Nẵng,364
Vietnam Airlines,1384045,17:05,,,18:20,1h 15m,SGN,DAD,Đà Nẵng,365
Vietnam Airlines,1384045,15:15,,,16:35,1h 20m,SGN,DAD,Đà Nẵng,366
Vietnam Airlines,1384045,16:20,,,17:40,1h 20m,SGN,DAD,Đà Nẵng,367
Vietnam Airlines,1384045,16:45,,,18:05,1h 20m,SGN,DAD,Đà Nẵng,368
Bamboo Airways,1107000,22:25,20-05-2024,20-05-2024,23:50,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Đà Nẵng,369
VietJet Air,1267044,19:45,20-05-2024,20-05-2024,21:05,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Đà Nẵng,370
Bamboo Airways,1306875,18:10,20-05-2024,20-05-2024,19:35,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Đà Nẵng,371
Vietnam Airlines,1388520,21:05,20-05-2024,20-05-2024,22:30,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Đà Nẵng,372
Vietnam Airlines,1388520,21:15,20-05-2024,20-05-2024,22:40,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Đà Nẵng,373
Vietravel Airlines,1394244,21:10,20-05-2024,20-05-2024,22:15,1h 5m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Đà Nẵng,374
Vietnam Airlines,1523150,20:10,20-05-2024,20-05-2024,21:35,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Đà Nẵng,375
VietJet Air,2489820,19:35,20-05-2024,20-05-2024,20:55,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Đà Nẵng,376
Vietravel Airlines,925200,20:50,21-05-2024,21-05-2024,22:15,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Đà Nẵng,377
Vietravel Airlines,1023372,08:10,21-05-2024,21-05-2024,09:30,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Đà Nẵng,378
VietJet Air,1024692,20:30,21-05-2024,21-05-2024,21:50,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Đà Nẵng,379
VietJet Air,1024692,20:35,21-05-2024,21-05-2024,21:55,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Đà Nẵng,380
VietJet Air,1123726,19:15,21-05-2024,21-05-2024,20:35,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Đà Nẵng,381
VietJet Air,1254622,05:35,21-05-2024,21-05-2024,06:55,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Đà Nẵng,382
VietJet Air,1254622,15:40,21-05-2024,21-05-2024,17:00,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Đà Nẵng,383
VietJet Air,1254622,16:15,21-05-2024,21-05-2024,17:35,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Đà Nẵng,384
Bamboo Airways,1306875,09:40,21-05-2024,21-05-2024,11:05,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Đà Nẵng,385
Bamboo Airways,1306875,14:00,21-05-2024,21-05-2024,15:25,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Đà Nẵng,386
Vietnam Airlines,1388520,20:10,21-05-2024,21-05-2024,21:35,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Đà Nẵng,387
Vietnam Airlines,1388520,21:00,21-05-2024,21-05-2024,22:30,1h 30m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Đà Nẵng,388
VietJet Air,1396426,07:05,21-05-2024,21-05-2024,08:25,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Đà Nẵng,389
Vietnam Airlines,1523150,18:20,21-05-2024,21-05-2024,19:30,1h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Đà Nẵng,390
Vietnam Airlines,1523150,15:20,21-05-2024,21-05-2024,16:45,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Đà Nẵng,391
Vietnam Airlines,1523150,16:00,21-05-2024,21-05-2024,17:35,1h 35m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Đà Nẵng,392
Vietnam Airlines,1656400,07:00,21-05-2024,21-05-2024,08:20,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Đà Nẵng,393
Vietnam Airlines,1789650,13:05,21-05-2024,21-05-2024,14:30,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Đà Nẵng,394
Vietnam Airlines,1789650,08:00,21-05-2024,21-05-2024,09:30,1h 30m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Đà Nẵng,395
Vietnam Airlines,1789650,10:30,21-05-2024,21-05-2024,12:00,1h 30m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Đà Nẵng,396
Vietnam Airlines,1789650,11:45,21-05-2024,21-05-2024,13:15,1h 30m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Đà Nẵng,397
VietJet Air,1810930,13:40,21-05-2024,21-05-2024,15:00,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Đà Nẵng,398
Vietnam Airlines,1921875,06:00,21-05-2024,21-05-2024,07:30,1h 30m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Đà Nẵng,399
Vietnam Airlines,1921875,08:55,21-05-2024,21-05-2024,10:30,1h 35m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Đà Nẵng,400
VietJet Air,2465410,19:45,21-05-2024,21-05-2024,21:05,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Đà Nẵng,401
Bamboo Airways,1007575,21:10,22-05-2024,22-05-2024,22:35,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Đà Nẵng,402
Vietravel Airlines,1023372,08:10,22-05-2024,22-05-2024,09:30,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Đà Nẵng,403
Vietravel Airlines,1023372,20:50,22-05-2024,22-05-2024,22:15,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Đà Nẵng,404
VietJet Air,1024692,20:35,22-05-2024,22-05-2024,21:55,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Đà Nẵng,405
VietJet Air,1123726,05:35,22-05-2024,22-05-2024,06:55,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Đà Nẵng,406
VietJet Air,1134852,20:30,22-05-2024,22-05-2024,21:50,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Đà Nẵng,407
Bamboo Airways,1196175,14:00,22-05-2024,22-05-2024,15:25,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Đà Nẵng,408
VietJet Air,1254622,13:40,22-05-2024,22-05-2024,15:00,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Đà Nẵng,409
